institution_name,longitude,latitude,fips_state_code,total_enrollment,full-time_enrollment,part-time_enrollment,control,level
Bel-Rea Institute of Animal Technology,-104.876207,39.686194,Colorado,275.0,275.0,0.0,Private for-profit,2-year
Belanger School of Nursing,-73.91588399999998,42.802979,New York,105.0,21.0,84.0,Private not-for-profit,2-year
Belhaven University,-90.169228,32.318415,Mississippi,4205.0,1188.0,3017.0,Private not-for-profit,4-year or above
Bellarmine University,-85.70499699999998,38.219279,Kentucky,3369.0,2762.0,607.0,Private not-for-profit,4-year or above
Bellevue College,-122.150118,47.584014,Washington,13226.0,6866.0,6360.0,Public,4-year or above
Bellevue University,-95.91764,41.150225,Nebraska,9621.0,5586.0,4035.0,Private not-for-profit,4-year or above
Bellin College,-87.921722,44.468277,Wisconsin,477.0,270.0,207.0,Private not-for-profit,4-year or above
Bellingham Technical College,-122.51216,48.766189,Washington,2316.0,1441.0,875.0,Public,4-year or above
Belmont Abbey College,-81.041315,35.260651,North Carolina,1556.0,1440.0,116.0,Private not-for-profit,4-year or above
Belmont College,-80.964901,40.07695,Ohio,982.0,462.0,520.0,Public,2-year
Belmont University,-86.79480699999998,36.135589,Tennessee,8260.0,7521.0,739.0,Private not-for-profit,4-year or above
Beloit College,-89.029285,42.504022,Wisconsin,1275.0,1228.0,47.0,Private not-for-profit,4-year or above
Bemidji State University,-94.874119,47.482341,Minnesota,5111.0,3352.0,1759.0,Public,4-year or above
Benedict College,-81.020403,34.012941,South Carolina,2165.0,2114.0,51.0,Private not-for-profit,4-year or above
Benedictine College,-95.111473,39.572646,Kansas,2124.0,1974.0,150.0,Private not-for-profit,4-year or above
Benedictine University,-88.097307,41.777569,Illinois,4940.0,2737.0,2203.0,Private not-for-profit,4-year or above
Benjamin Franklin Institute of Technology,-71.070231,42.346023,Massachusetts,630.0,476.0,154.0,Private not-for-profit,4-year or above
Bennett College,-79.77998000000002,36.067531,North Carolina,534.0,463.0,71.0,Private not-for-profit,4-year or above
